courseId,videoName,videoPath,videoId(opt.)

cal-1,4.1_ฟังก์ชันอดิศัย_Part1,./videosrc/4.1 ฟังก์ชันอดิศัย Part1-Optimize-computer.m4v,MTE1MDEzMg==
cal-1,4.5_ฟังก์ชันอดิศัย_Part5,./videosrc/4.5 ฟังก์ชันอดิศัย Part5-Optimize-computer.m4v,MTE1MDEzNQ==

cal-1,5.4_การประยุกต์ของอนุพันธ์_Part4,./videosrc/5.4_การประยุกต์ของอนุพันธ์_Part4_Optimized_notebook.m4v,MTE1MDE0Nw==

cal-1,6.1_เทคนิคการอินทิเกรต_Part1,./videosrc/6.1 เทคนิคการอินทิเกรต Part1-Optimize-computer.m4v,MTE1MDE0Mw==
cal-1,6.2_เทคนิคการอินทิเกรต_Part2,./videosrc/6.2 เทคนิคการอินทิเกรต Part2-Optimize-computer.m4v,MTE1MDE0Ng==
cal-1,6.3_เทคนิคการอินทิเกรต_Part3,./videosrc/6.3 เทคนิคการอินทิเกรต Part3-Optimize-computer.m4v,MTE1MDE0OQ==
cal-1,6.4_เทคนิคการอินทิเกรต_Part4,./videosrc/6.4 เทคนิคการอินทิเกรต Part4-Optimize-computer.m4v,MTE1MDE1Mg==
cal-1,6.5_เทคนิคการอินทิเกรต_Part5,./videosrc/6.5 เทคนิคการอินทิเกรต Part5-Optimize-computer.m4v,MTE1MDE1NA==
