courseId,videoName,videoPath,videoId(opt.)

cal-1,1.1_ลิมิตและความต่อเนื่อง_Part1,./videosrc/1.1 ลิมิตและความต่อเนื่อง Part1-Optimize-computer.m4v,MTE0OTgzNg==
cal-1,1.2_ลิมิตและความต่อเนื่อง_Part2,./videosrc/1.2 ลิมิตและความต่อเนื่อง Part2 50-Optimize-computer.m4v,MTE1MDExOA==
cal-1,1.3_ลิมิตและความต่อเนื่อง_Part3,./videosrc/1.3 ลิมิตและความต่อเนื่อง Part3-Optimize-computer.m4v,MTE1MDExOQ==
cal-1,1.4_ลิมิตและความต่อเนื่อง_Part4,./videosrc/1.4 ลิมิตและความต่อเนื่อง Part4-Optimize-computer.m4v,MTE1MDEyMg==

cal-1,2.1_อนุพันธ์ของฟังก์ชัน_Part1,./videosrc/2.1 อนุพันธ์ของฟังก์ชัน Part1-Optimize-computer.m4v,MTE1MDEyNA==
cal-1,2.2_อนุพันธ์ของฟังก์ชัน_Part2,./videosrc/2.2 อนุพันธ์ของฟังก์ชัน Part2-Optimize-computer.m4v,MTE1MDEyMQ==
cal-1,2.3_อนุพันธ์ของฟังก์ชัน_Part3,./videosrc/2.3 อนุพันธ์ของฟังก์ชัน Part3-Optimize-computer.m4v,MTE1MDEyMw==
cal-1,2.4_อนุพันธ์ของฟังก์ชัน_Part4,./videosrc/2.4 อนุพันธ์ของฟังก์ชัน Part4-Optimize-computer.m4v,MTE1MDEyMA==
cal-1,2.5_อนุพันธ์ของฟังก์ชัน_Part5,./videosrc/2.5 อนุพันธ์ของฟังก์ชัน Part5-Optimize-computer.m4v,MTE1MDEyNQ==

cal-1,3.1_การอินทิเกรต_Part1,./videosrc/3.1 การอินทิเกรต Part1-Optimize-computer.m4v,MTE1MDEyOQ==
cal-1,3.2_การอินทิเกรต_Part2,./videosrc/3.2 การอินทิเกรต Part2-Optimize-computer.m4v,MTE1MDEyNg==
cal-1,3.3_การอินทิเกรต_Part3,./videosrc/3.3 การอินทิเกรต Part3-Optimize-computer.m4v,MTE1MDEyOA==
cal-1,3.4_การอินทิเกรต_Part4,./videosrc/3.4 การอินทิเกรต Part4-Optimize-computer.m4v,MTE1MDEyNw==

