courseId,videoName,videoPath,videoId(opt.)
law,1.1รัฐธรรมนูญ Wisuluck Nakkham.mp4,./videosrc/1.1รัฐธรรมนูญ Wisuluck Nakkham.mp4,
law,1.2ข้อสอบรัฐธรรมนูญ Wisuluck Nakkham.mp4,./videosrc/1.2ข้อสอบรัฐธรรมนูญ Wisuluck Nakkham.mp4,
law,10.1 พรบการบริหารงานบุคคลส่วนท้องถิ่น Wisuluck Nakkham.mp4,./videosrc/10.1 พรบการบริหารงานบุคคลส่วนท้องถิ่น Wisuluck Nakkham.mp4,
law,10.2 ข้อสอบพรบการบริหารงานบุคคลส่วนท้องถิ่น Wisuluck Nakkham.mp4,./videosrc/10.2 ข้อสอบพรบการบริหารงานบุคคลส่วนท้องถิ่น Wisuluck Nakkham.mp4,
law,11.1 ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ Wisuluck Nakkham.mp4,./videosrc/11.1 ระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ Wisuluck Nakkham.mp4,
law,11.2+11.3_ข้อสอบระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ.mp4,./videosrc/11.2+11.3_ข้อสอบระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ.mp4,
law,11.3 ข้อสอบระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ Wisuluck Nakkham.mp4,./videosrc/11.3 ข้อสอบระเบียบสำนักนายกรัฐมนตรีว่าด้วยงานสารบรรณ Wisuluck Nakkham.mp4,
law,12.1+12.2พรบอำนวยความสะดวกในการพิจารณาอนุญาตของทางราชการ.mp4,./videosrc/12.1+12.2พรบอำนวยความสะดวกในการพิจารณาอนุญาตของทางราชการ.mp4,
law,12.3 ข้อสอบพรบอำนวยความสะดวกในการพิจารณาอนุญาตของทางราชการ Wisuluck Nakkham.mp4,./videosrc/12.3 ข้อสอบพรบอำนวยความสะดวกในการพิจารณาอนุญาตของทางราชการ Wisuluck Nakkham.mp4,
law,13.1 ประมวลจริยธรรมพนักงานส่วนท้องถิ่น Wisuluck Nakkham.mp4,./videosrc/13.1 ประมวลจริยธรรมพนักงานส่วนท้องถิ่น Wisuluck Nakkham.mp4,
law,13.2 ข้อสอบประมวลจริยธรรมพนักงานส่วนท้องถิ่น Wisuluck Nakkham.mp4,./videosrc/13.2 ข้อสอบประมวลจริยธรรมพนักงานส่วนท้องถิ่น Wisuluck Nakkham.mp4,
law,2.1+2.2_การบริหารราชการแผ่นดิน.mp4,./videosrc/2.1+2.2_การบริหารราชการแผ่นดิน.mp4,
law,2.1L+2.2L.mp4,./videosrc/2.1L+2.2L.mp4,
