videoName,uri
01_install_mt4,https://video.sarun.work/watch/courses/ea/videos/8CS42E9qfnhbWFtaA5Qxd
02_metaeditor_tour,https://video.sarun.work/watch/courses/ea/videos/U6N2u1J5M0xmpRr076SNW
03_use_other_mq4,https://video.sarun.work/watch/courses/ea/videos/QtiApXLqxHNWzxPn_xVtJ
04_differnet_between_ea_indicator_and_script,https://video.sarun.work/watch/courses/ea/videos/xuT5EJwpFp_1_-7lFUO_q
05_structure_of_mql4,https://video.sarun.work/watch/courses/ea/videos/NcL1fLJSwlHNGSutjKLRa
06_preprocessor,https://video.sarun.work/watch/courses/ea/videos/NJBEieqIYj5v6SuhxytgZ
07_comment,https://video.sarun.work/watch/courses/ea/videos/hat8KtWRPjb2HUTlZLWJN
08_variable_vs_constant,https://video.sarun.work/watch/courses/ea/videos/JQ7kixhUdR1eKXl84mi1E
09_declaring_and_initializing_variables,https://video.sarun.work/watch/courses/ea/videos/ahGH85ypDyJ8dLiTT5H8R
10_global_variables,https://video.sarun.work/watch/courses/ea/videos/UxFzfYngJDlAPS2FXiXqx
11_bit_and_byte,https://video.sarun.work/watch/courses/ea/videos/LdK9cXHinxh2X37U3oxPC
12_integer_type,https://video.sarun.work/watch/courses/ea/videos/pfjQKgNAm3Ij58KOjpART
13_color,https://video.sarun.work/watch/courses/ea/videos/VsVBnb5bH5RjcA1kFxWGs
14_double,https://video.sarun.work/watch/courses/ea/videos/IpQVfQKPmbyfh5xouTS7x
15_string,https://video.sarun.work/watch/courses/ea/videos/DpqEh2BVpUwpNAZvF9ue7
16_constant,https://video.sarun.work/watch/courses/ea/videos/8VQqDXu02yqOHd1GWPeEZ
17_what_is_arrays,https://video.sarun.work/watch/courses/ea/videos/E7ocbJvrg81ZksD3_iI7T
18_arrays_declaring_and_initialization,https://video.sarun.work/watch/courses/ea/videos/RcKHPA3C5R0iu24F3Dl4c
19_accessing_and_modifying_array_elements,https://video.sarun.work/watch/courses/ea/videos/yruAT5xQDvyag_HSsTOZB
20_array_resize,https://video.sarun.work/watch/courses/ea/videos/KMx_VPpD4fhuvOlkIv1tY
21_arithmetic_operator,https://video.sarun.work/watch/courses/ea/videos/bH2TpL9eVH1D7g8lrTV1B
